Site,Latitude,Longitude,nearest_buoy,nearest_buoy_nm,dist_to_buoy_km,mean_fetch_km,max_fetch_km,weighted_fetch_km,wave_energy_kW_m,exposure_index_scaled
SCI_COCHE_POINT_W,34.04265,-119.604,46053,East Santa Barbara,30.884614013782155,0,0,0,0,0
SCI_FORNEY_E,34.05148,-119.90967,46053,East Santa Barbara,22.00966429801922,67.29470168245814,500,44.37867471457722,0.14981258985289175,0.11493738972822658
SCI_FORNEY_W,34.05388,-119.9182,46053,East Santa Barbara,22.00398083499306,72.99887035747878,500,45.60508166518822,0.20026997074922387,0.11811369038511575
SCI_GULL_ISLE_E,33.94647,-119.82318,46053,East Santa Barbara,32.70307233593932,165.5156332441913,500,194.95006449664922,0.4809450080926569,0.5049058288627568
SCI_GULL_ISLE_W,33.94817,-119.82795,46053,East Santa Barbara,32.497905401248346,0,0,0,0,0
SCI_HAZARDS_CEN,34.05658,-119.82117,46053,East Santa Barbara,20.52278327790687,14.905445187314335,55.122335855745966,5.529404981639608,0.11309546803924489,0.014320738044283072
SCI_HAZARDS_E,34.05438,-119.81935,46053,East Santa Barbara,20.78000583412561,0,0,0,0,0
SCI_HAZARDS_W,34.0581,-119.82483,46053,East Santa Barbara,20.330241690500856,0,0,0,0,0
SCI_PAINTED_CAVE_CEN,34.07287,-119.87098,46053,East Santa Barbara,18.88157597997742,0,0,0,0,0
SCI_PAINTED_CAVE_E,34.0719,-119.85755,46053,East Santa Barbara,18.83529104737346,0,0,0,0,0
SCI_PAINTED_CAVE_W,34.07448,-119.88213,46053,East Santa Barbara,18.894595568979874,0,0,0,0,0
SCI_PELICAN_CEN,34.03065,-119.69665,46053,East Santa Barbara,26.773631639320573,0,0,0,0,0
SCI_PELICAN_E,34.02805,-119.69092,46053,East Santa Barbara,27.286131244354518,0,0,0,0,0
SCI_PELICAN_W,34.03587,-119.7023,46053,East Santa Barbara,26.013819353799764,14.631245772443405,47.66079695073535,5.63581777345605,0.10563075770850619,0.014596339075718502
SCI_SCORPION_E,34.04847,-119.54637,46053,East Santa Barbara,34.416261283890925,19.641229737539163,66.73508184553283,10.114014415209763,0.14523806214066912,0.026194527530044125
SCI_SCORPION_W,34.0525,-119.55525,46053,East Santa Barbara,33.496527506236845,19.69157179827404,65.92396229050891,10.066414751779638,0.14510241948779362,0.026071248024700906
SCI_VALLEY_CEN,33.98362,-119.6384,46053,East Santa Barbara,34.02396334474522,208.4726847021607,500,204.71409660219027,0.4855242279743627,0.5301939288488715
SCI_VALLEY_E,33.98355,-119.62032,46053,East Santa Barbara,34.96573997067499,208.37382247161796,500,205.02945478768163,0.48587582744552704,0.5310106825465185
SCI_VALLEY_W,33.9817,-119.6637,46053,East Santa Barbara,32.99827795189485,151.39717024713818,500,104.60919687466802,0.408744556609047,0.2709298578127908
SCI_YELLOWBANKS_CEN,33.98853,-119.54698,46053,East Santa Barbara,38.86060505616665,184.41283024167063,500,197.71512839985417,0.48894269114375133,0.5120671339154678
SCI_YELLOWBANKS_W,33.9893,-119.56493,46053,East Santa Barbara,37.66791602702129,184.40358919636395,500,197.2752540422475,0.49038114257780174,0.5109278928093091
SCLI - Pyramid Cove,32.81609,-118.37092,46086,San Clemente Basin,48.758950888800236,196.42224655734037,500,94.54647915652656,0.4283033914653993,0.2448681848238214
SRI_CLUSTER_POINT_S,33.92383,-120.192,46054,West Santa Barbara,46.44750265388941,252.0341106300212,500,159.34557557044542,0.5008060899836811,0.41269291249909607
SRI_JOHNSONS_LEE_SOUTH_E,33.89743,-120.10038,46053,East Santa Barbara,45.10573557908896,207.877373366286,500,203.78295088142204,0.49286277969551057,0.5277823323041338
SRI_JOHNSONS_LEE_SOUTH_W,33.89513,-120.10432,46053,East Santa Barbara,45.51633207753754,207.9857972599847,500,203.80731058262793,0.4932314744042077,0.5278454220761736
SRI_SOUTH_POINT_W,33.89417,-120.12488,46053,East Santa Barbara,46.65291811525795,260.4140238719195,500,386.111732826995,0.5542178555043039,1
San Mateo Kelp,33.3848,-117.60813,46086,San Clemente Basin,106.3794704519572,150.8294250253769,500,137.31655752964468,0.4140658319044497,0.3556394324623439
Santa Monica AR - A,34.00957,-118.53036,46025,Santa Monica Basin,55.35397163980094,79.81991256685198,500,74.98752781696398,0.24090079730148428,0.19421198953973154
Santa Monica AR - B,34.00932,-118.53123,46025,Santa Monica Basin,55.270662596031215,79.88915520171815,500,75.03540201688966,0.24121985893550207,0.19433598007370254
Santa Monica AR - C,34.00894,-118.53088,46025,Santa Monica Basin,55.2771100730714,79.9160343823782,500,75.07618534001506,0.24132500897018,0.19444160577646685
Segovia,33.76236,-118.42352,46025,Santa Monica Basin,57.58284598992624,134.49253726556702,500,231.05039331992705,0.3118307153569013,0.598402932820106
South La Jolla,32.81285,-117.28653,46086,San Clemente Basin,77.6019755899591,178.85161573495856,500,284.3047734064393,0.4690668626493929,0.7363277239073894
Swami's,33.03583,-117.30076,46086,San Clemente Basin,90.58312214134759,120.6391619440513,500,136.5810691032552,0.39033819636774836,0.35373457341803455
Underwater Arch,33.75162,-118.41704,46025,Santa Monica Basin,58.18223247894235,132.38561095903498,500,228.750293588584,0.29731112129843656,0.5924458495828203
Whites Point,33.7147,-118.323,46025,Santa Monica Basin,67.05735426028421,86.33342727239777,500,124.25710265762238,0.2886368573905986,0.3218164383346989
